tag,description,io_type,signal,device,location,cabinet,rack,slot,channel,notes
XV-101-ZSO,Inlet valve open feedback,DI,24VDC,limit switch,skid east,CP-01,0,1,0,
XV-101-ZSC,Inlet valve closed feedback,DI,24VDC,limit switch,skid east,CP-01,0,1,1,
P-201-RUN,Transfer pump running,DI,24VDC,aux contact,MCC-2,CP-01,0,1,2,
P-201-FLT,Transfer pump fault,DI,24VDC,relay contact,MCC-2,CP-01,0,1,3,
HS-301,Local start pushbutton,DI,24VDC,pushbutton,operator station,CP-01,0,1,4,
XV-101-SOL,Inlet valve solenoid,DO,24VDC,solenoid valve,skid east,CP-01,0,2,0,
P-201-CMD,Transfer pump start command,DO,24VDC,MCC starter,MCC-2,CP-01,0,2,1,
YL-301,Run status pilot light,DO,24VDC,pilot light,operator station,CP-01,0,2,2,
PT-401,Discharge pressure,AI,4-20mA,pressure transmitter,skid east,CP-01,0,3,0,0-10 bar
FT-402,Process flow,AI,4-20mA,magmeter,line 2,CP-01,0,3,1,0-50 m3/h
LT-403,Tank level,AI,4-20mA,radar level,tank T-1,CP-01,0,3,2,0-4 m
FCV-404,Flow control valve command,AO,4-20mA,I/P positioner,line 2,CP-01,0,4,0,
TE-405,Bearing temperature,RTD,RTD-3W,Pt100,P-201 DE bearing,CP-01,0,5,0,alarm 85C
